Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan," 36,263 "," 1,269 "," 25,198 "," 9,796 ", 106 , 10 , 18 , 4 , 69 , 5 ," 35,526 ", 737 ,2.07,Eastern Mediterranean
Albania," 4,880 ", 144 ," 2,745 "," 1,991 ", 117 , 6 , 63 , 3 , 56 , 5 ," 4,171 ", 709 ,17.0,Europe
Algeria," 27,973 "," 1,163 "," 18,837 "," 7,973 ", 616 , 8 , 749 , 4 , 67 , 6 ," 23,691 "," 4,282 ",18.07,Africa
Andorra, 907 , 52 , 803 , 52 , 10 , -   , -   , 6 , 89 , 6 , 884 , 23 ,2.6,Europe
Angola, 950 , 41 , 242 , 667 , 18 , 1 , -   , 4 , 25 , 17 , 749 , 201 ,26.84,Africa
Antigua and Barbuda, 86 , 3 , 65 , 18 , 4 , -   , 5 , 3 , 76 , 5 , 76 , 10 ,13.16,Americas
Argentina," 167,416 "," 3,059 "," 72,575 "," 91,782 "," 4,890 ", 120 ," 2,057 ", 2 , 43 , 4 ," 130,774 "," 36,642 ",28.02,Americas
Armenia," 37,390 ", 711 ," 26,665 "," 10,014 ", 73 , 6 , 187 , 2 , 71 , 3 ," 34,981 "," 2,409 ",6.89,Europe
Australia," 15,303 ", 167 ," 9,311 "," 5,825 ", 368 , 6 , 137 , 1 , 61 , 2 ," 12,428 "," 2,875 ",23.13,Western Pacific
Austria," 20,558 ", 713 ," 18,246 "," 1,599 ", 86 , 1 , 37 , 3 , 89 , 4 ," 19,743 ", 815 ,4.13,Europe
Azerbaijan," 30,446 ", 423 ," 23,242 "," 6,781 ", 396 , 6 , 558 , 1 , 76 , 2 ," 27,890 "," 2,556 ",9.16,Europe
Bahamas, 382 , 11 , 91 , 280 , 40 , -   , -   , 3 , 24 , 12 , 174 , 208 ,119.54,Americas
Bahrain," 39,482 ", 141 ," 36,110 "," 3,231 ", 351 , 1 , 421 , 0 , 91 , 0 ," 36,936 "," 2,546 ",6.89,Eastern Mediterranean
Bangladesh," 226,225 "," 2,965 "," 125,683 "," 97,577 "," 2,772 ", 37 ," 1,801 ", 1 , 56 , 2 ," 207,453 "," 18,772 ",9.05,South-East Asia
Barbados, 110 , 7 , 94 , 9 , -   , -   , -   , 6 , 85 , 7 , 106 , 4 ,3.77,Americas
Belarus," 67,251 ", 538 ," 60,492 "," 6,221 ", 119 , 4 , 67 , 1 , 90 , 1 ," 66,213 "," 1,038 ",1.57,Europe
Belgium," 66,428 "," 9,822 "," 17,452 "," 39,154 ", 402 , 1 , 14 , 15 , 26 , 56 ," 64,094 "," 2,334 ",3.64,Europe
Belize, 48 , 2 , 26 , 20 , -   , -   , -   , 4 , 54 , 8 , 40 , 8 ,20.0,Americas
Benin," 1,770 ", 35 ," 1,036 ", 699 , -   , -   , -   , 2 , 59 , 3 ," 1,602 ", 168 ,10.49,Africa
Bhutan, 99 , -   , 86 , 13 , 4 , -   , 1 , -   , 87 , -   , 90 , 9 ,10.0,South-East Asia
Bolivia," 71,181 "," 2,647 "," 21,478 "," 47,056 "," 1,752 ", 64 , 309 , 4 , 30 , 12 ," 60,991 "," 10,190 ",16.71,Americas
Bosnia and Herzegovina," 10,498 ", 294 ," 4,930 "," 5,274 ", 731 , 14 , 375 , 3 , 47 , 6 ," 8,479 "," 2,019 ",23.81,Europe
Botswana, 739 , 2 , 63 , 674 , 53 , 1 , 11 , 0 , 9 , 3 , 522 , 217 ,41.57,Africa
Brazil," 2,442,375 "," 87,618 "," 1,846,641 "," 508,116 "," 23,284 ", 614 ," 33,728 ", 4 , 76 , 5 ," 2,118,646 "," 323,729 ",15.28,Americas
Brunei, 141 , 3 , 138 , -   , -   , -   , -   , 2 , 98 , 2 , 141 , -   ,0.0,Western Pacific
Bulgaria," 10,621 ", 347 ," 5,585 "," 4,689 ", 194 , 7 , 230 , 3 , 53 , 6 ," 8,929 "," 1,692 ",18.95,Europe
Burkina Faso," 1,100 ", 53 , 926 , 121 , 14 , -   , 6 , 5 , 84 , 6 ," 1,065 ", 35 ,3.29,Africa
Burma, 350 , 6 , 292 , 52 , -   , -   , 2 , 2 , 83 , 2 , 341 , 9 ,2.64,South-East Asia
Burundi, 378 , 1 , 301 , 76 , 17 , -   , 22 , 0 , 80 , 0 , 322 , 56 ,17.39,Africa
Cabo Verde," 2,328 ", 22 ," 1,550 ", 756 , 21 , -   , 103 , 1 , 67 , 1 ," 2,071 ", 257 ,12.41,Africa
Cambodia, 226 , -   , 147 , 79 , 1 , -   , 4 , -   , 65 , -   , 171 , 55 ,32.16,Western Pacific
Cameroon," 17,110 ", 391 ," 14,539 "," 2,180 ", 402 , 6 , -   , 2 , 85 , 3 ," 16,157 ", 953 ,5.9,Africa
Canada," 116,458 "," 8,944 ", -   ," 107,514 ", 682 , 11 , -   , 8 , -   , inf ," 112,925 "," 3,533 ",3.13,Americas
Central African Republic," 4,599 ", 59 ," 1,546 "," 2,994 ", -   , -   , -   , 1 , 34 , 4 ," 4,548 ", 51 ,1.12,Africa
Chad, 922 , 75 , 810 , 37 , 7 , -   , -   , 8 , 88 , 9 , 889 , 33 ,3.71,Africa
Chile," 347,923 "," 9,187 "," 319,954 "," 18,782 "," 2,133 ", 75 ," 1,859 ", 3 , 92 , 3 ," 333,029 "," 14,894 ",4.47,Americas
China," 86,783 "," 4,656 "," 78,869 "," 3,258 ", 213 , 4 , 7 , 5 , 91 , 6 ," 85,622 "," 1,161 ",1.36,Western Pacific
Colombia," 257,101 "," 8,777 "," 131,161 "," 117,163 "," 16,306 ", 508 ," 11,494 ", 3 , 51 , 7 ," 204,005 "," 53,096 ",26.03,Americas
Comoros, 354 , 7 , 328 , 19 , -   , -   , -   , 2 , 93 , 2 , 334 , 20 ,5.99,Africa
Congo (Brazzaville)," 3,200 ", 54 , 829 ," 2,317 ", 162 , 3 , 73 , 2 , 26 , 7 ," 2,851 ", 349 ,12.24,Africa
Congo (Kinshasa)," 8,844 ", 208 ," 5,700 "," 2,936 ", 13 , 4 , 190 , 2 , 64 , 4 ," 8,443 ", 401 ,4.75,Africa
Costa Rica," 15,841 ", 115 ," 3,824 "," 11,902 ", 612 , 11 , 88 , 1 , 24 , 3 ," 11,534 "," 4,307 ",37.34,Americas
Cote d'Ivoire," 15,655 ", 96 ," 10,361 "," 5,198 ", 59 , -   , 183 , 1 , 66 , 1 ," 14,312 "," 1,343 ",9.38,Africa
Croatia," 4,881 ", 139 ," 3,936 ", 806 , 24 , 3 , 70 , 3 , 81 , 4 ," 4,370 ", 511 ,11.69,Europe
Cuba," 2,532 ", 87 ," 2,351 ", 94 , 37 , -   , 2 , 3 , 93 , 4 ," 2,446 ", 86 ,3.52,Americas
Cyprus," 1,060 ", 19 , 852 , 189 , 3 , -   , -   , 2 , 80 , 2 ," 1,038 ", 22 ,2.12,Europe
Czechia," 15,516 ", 373 ," 11,428 "," 3,715 ", 192 , 2 , -   , 2 , 74 , 3 ," 14,098 "," 1,418 ",10.06,Europe
Denmark," 13,761 ", 613 ," 12,605 ", 543 , 109 , -   , 77 , 4 , 92 , 5 ," 13,453 ", 308 ,2.29,Europe
Djibouti," 5,059 ", 58 ," 4,977 ", 24 , 9 , -   , 11 , 1 , 98 , 1 ," 5,020 ", 39 ,0.78,Eastern Mediterranean
Dominica, 18 , -   , 18 , -   , -   , -   , -   , -   , 100 , -   , 18 , -   ,0.0,Americas
Dominican Republic," 64,156 "," 1,083 "," 30,204 "," 32,869 "," 1,248 ", 20 ," 1,601 ", 2 , 47 , 4 ," 53,956 "," 10,200 ",18.9,Americas
Ecuador," 81,161 "," 5,532 "," 34,896 "," 40,733 ", 467 , 17 , -   , 7 , 43 , 16 ," 74,620 "," 6,541 ",8.77,Americas
Egypt," 92,482 "," 4,652 "," 34,838 "," 52,992 ", 420 , 46 ," 1,007 ", 5 , 38 , 13 ," 88,402 "," 4,080 ",4.62,Eastern Mediterranean
